order_id,klient,produkt,kategoria,miasto,ilosc,cena_jednostkowa,data_zamowienia,email,wartosc_zamowienia,rok,miesiac,nazwa_dnia,email_poprawny
1001,Jan Nowak,Mysz,akcesoria,Kraków,2,199.99,2025-06-13,brak_emaila,399.98,2025,6,Friday,False
1002,Anna Kowalska,Monitor,elektronika,Kraków,1,399.0,2025-04-09,marta@gmail.com,399.0,2025,4,Wednesday,True
1005,Piotr Wiśniewski,Mysz,elektronika,Gdańsk,1,1499.0,2025-02-05,anna@gmail.com,1499.0,2025,2,Wednesday,True
1006,Magdalena Dąbrowska,Laptop,akcesoria,Warszawa,1,299.99,2025-04-07,tomasz@interia.pl,299.99,2025,4,Monday,True
1007,Katarzyna Lewandowska,Monitor,akcesoria,Łódź,1,1499.0,2025-10-11,marta@gmail.com,1499.0,2025,10,Saturday,True
1008,Piotr Wiśniewski,Laptop,elektronika,Poznań,3,199.99,2025-05-24,anna@gmail.com,599.97,2025,5,Saturday,True
1010,Anna Kowalska,Mysz,elektronika,Warszawa,1,199.99,2025-05-10,tomasz@interia.pl,199.99,2025,5,Saturday,True
1011,Tomasz Zieliński,Pendrive,elektronika,Wrocław,1,2999.0,2025-09-28,marta@gmail.com,2999.0,2025,9,Sunday,True
1013,Anna Kowalska,Mysz,akcesoria,Gdańsk,2,199.99,2025-05-23,anna@gmail.com,399.98,2025,5,Friday,True
1014,Marta Wójcik,Klawiatura,akcesoria,Gdańsk,2,1499.0,2025-06-29,anna@gmail.com,2998.0,2025,6,Sunday,True
1015,Magdalena Dąbrowska,Słuchawki,akcesoria,Warszawa,1,89.5,2025-06-04,marta@gmail.com,89.5,2025,6,Wednesday,True
1016,Magdalena Dąbrowska,Webcam,elektronika,Poznań,2,89.5,2025-09-04,piotr.w@onet,179.0,2025,9,Thursday,False
1017,Anna Kowalska,Monitor,akcesoria,Warszawa,1,2999.0,2025-02-23,anna@gmail.com,2999.0,2025,2,Sunday,True
1018,Jan Nowak,Mysz,elektronika,Wrocław,2,399.0,2025-09-08,JAN@WP.PL,798.0,2025,9,Monday,True
1019,Krzysztof Kamiński,Laptop,elektronika,Poznań,5,1499.0,2025-10-04,marta@gmail.com,7495.0,2025,10,Saturday,True
1020,Anna Kowalska,Mysz,elektronika,Wrocław,2,1499.0,2025-05-10,anna@gmail.com,2998.0,2025,5,Saturday,True
1021,Anna Kowalska,Monitor,akcesoria,Poznań,5,199.99,2025-07-21,tomasz@interia.pl,999.95,2025,7,Monday,True
