order_id,klient,produkt,kategoria,miasto,ilosc,cena_jednostkowa,data_zamowienia,email
1001,  Jan Nowak,Mysz,Akcesoria,kraków,2,199.99,13.06.2025,
1002,Anna Kowalska,Monitor,elektronika,Kraków,1,399.00 zł,2025-04-09,marta@gmail.com
1003,Anna Kowalska,Mysz,Elektronika,WROCŁAW,1,abc,04.01.2025,JAN@WP.PL
1004,PIOTR WIŚNIEWSKI,Słuchawki,akcesoria,kraków,1,,05.07.2025,
1005,PIOTR WIŚNIEWSKI,Mysz,Elektronika,Gdańsk,1,1 499.00,2025-02-05,anna@gmail.com
1006, Magdalena Dąbrowska,Laptop,Akcesoria ,warszawa,1,"299,99",04.07.2025,tomasz@interia.pl
1007,katarzyna lewandowska,monitor,akcesoria,Łódź ,1,1 499.00,2025-10-11,marta@gmail.com
1008,PIOTR WIŚNIEWSKI,Laptop,ELEKTRONIKA,Poznań,3,199.99,24.05.2025,anna@gmail.com
1009, Magdalena Dąbrowska,Pendrive,Akcesoria, Warszawa,1,abc,2025-10-21,anna@gmail.com
1010,anna kowalska ,Mysz,ELEKTRONIKA,warszawa,1,199.99,2025-05-10,tomasz@interia.pl
1011,Tomasz Zieliński ,Pendrive,elektronika,WROCŁAW,1,2999,2025-09-28,marta@gmail.com
1012,Tomasz Zieliński ,Klawiatura,Elektronika,Gdańsk,5,,25.07.2025,krzysztof.k@gmail.com
1013,anna kowalska ,MYSZ,Akcesoria ,Gdańsk,2,199.99,2025-05-23,anna@gmail.com
1014,Marta Wójcik,Klawiatura,akcesoria,Gdańsk,2,1 499.00,2025-06-29,anna@gmail.com
1015, Magdalena Dąbrowska,Słuchawki,akcesoria, Warszawa,1,89.50,06.04.2025,marta@gmail.com
1016, Magdalena Dąbrowska,Webcam,Elektronika,Poznań,2,89.50,09.04.2025,piotr.w@onet
1017,anna kowalska ,monitor,Akcesoria ,warszawa,1,2999,23.02.2025,anna@gmail.com
1018,  Jan Nowak,Mysz,Elektronika,WROCŁAW,2,399.00 zł,09.08.2025,JAN@WP.PL
1019,Krzysztof Kamiński,laptop,elektronika,Poznań,5,1 499.00,10.04.2025,marta@gmail.com
1020,Anna Kowalska,MYSZ,ELEKTRONIKA,WROCŁAW,2,1 499.00,05.10.2025,anna@gmail.com
1021,anna kowalska ,Monitor,akcesoria,Poznań,5,199.99,2025-07-21,tomasz@interia.pl
1022,PIOTR WIŚNIEWSKI,Monitor,elektronika, Warszawa,3,,2025-07-07,
1023,PIOTR WIŚNIEWSKI,Monitor,ELEKTRONIKA,Łódź ,1,1 499.00,08.02.2025,JAN@WP.PL
1024,katarzyna lewandowska,Mysz,elektronika,WROCŁAW,5,"299,99",26.08.2025,brak
